stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
83;81;0x0000000I64X;162;B;00:00:02:700;875;32;;;;;35.838744;;7 000;1 072;0;1 012;0;;0;0;3 364;;241;19;67;340;0;
84;83;0x0000000I64X;166;B;00:00:02:766;841;32;;;;;33.416581;;6 728;1 058;0;1 098;0;;3;11;2 871;;271;11;46;434;0;
85;88;0x0000000I64X;176;P;00:00:02:933;15845;26;;;;;36.242877;;126 760;456;0;3 609;0;;469;867;16 773;;5 794;79;4 798;92 492;0;
86;86;0x0000000I64X;172;B;00:00:02:866;1505;32;;;;;33.299122;;12 040;968;0;2 268;0;;20;26;5 235;;644;54;311;1 356;0;
87;85;0x0000000I64X;170;B;00:00:02:833;947;31;;;;;35.763445;;7 576;1 034;0;1 320;0;;2;5;3 442;;260;16;87;392;0;
88;87;0x0000000I64X;174;B;00:00:02:900;786;25;;;;;32.192470;;6 288;1 048;0;1 162;0;;12;27;2 659;;202;10;42;207;0;
89;92;0x0000000I64X;184;P;00:00:03:066;15024;26;;;;;31.158614;;120 192;526;0;3 188;0;;334;562;16 390;;5 516;69;4 186;88 122;0;
90;90;0x0000000I64X;180;B;00:00:03:000;1512;30;;;;;34.965553;;12 096;1 012;0;2 406;0;;24;40;4 988;;674;51;312;1 461;0;
91;89;0x0000000I64X;178;B;00:00:02:966;838;25;;;;;35.880218;;6 704;1 070;0;1 193;0;;0;1;2 985;;188;12;39;254;0;
92;91;0x0000000I64X;182;B;00:00:03:033;857;35;;;;;38.935526;;6 856;1 068;0;1 183;0;;4;5;2 853;;276;22;43;444;0;
93;96;0x0000000I64X;192;P;00:00:03:200;14699;26;;;;;31.680010;;117 592;503;0;3 188;0;;256;412;16 275;;5 510;54;4 028;86 112;0;
94;94;0x0000000I64X;188;B;00:00:03:133;1483;30;;;;;34.579889;;11 864;973;0;2 435;0;;11;19;5 044;;633;53;190;1 313;0;
95;93;0x0000000I64X;186;B;00:00:03:100;856;34;;;;;36.066989;;6 848;1 082;0;1 198;0;;18;15;2 808;;259;19;27;444;0;
96;95;0x0000000I64X;190;B;00:00:03:166;758;35;;;;;32.239446;;6 064;1 047;0;968;0;;0;0;2 521;;226;15;9;359;0;
97;100;0x0000000I64X;200;P;00:00:03:333;13336;26;;;;;32.509755;;106 688;532;0;3 049;0;;165;336;15 513;;5 447;38;4 254;76 141;0;
98;98;0x0000000I64X;196;B;00:00:03:266;1586;29;;;;;35.362868;;12 688;952;0;2 390;0;;3;2;4 900;;815;66;278;2 106;0;
99;97;0x0000000I64X;194;B;00:00:03:233;1029;29;;;;;35.904421;;8 232;1 027;0;1 533;0;;0;1;3 816;;342;13;26;416;0;
100;99;0x0000000I64X;198;B;00:00:03:300;875;34;;;;;35.275689;;7 000;1 044;0;1 374;0;;0;0;2 832;;311;17;55;362;0;
101;104;0x0000000I64X;208;P;00:00:03:466;13536;26;;;;;33.347334;;108 288;440;0;3 983;0;;780;1 205;17 721;;5 256;129;4 507;72 727;0;
102;102;0x0000000I64X;204;B;00:00:03:400;2051;28;;;;;35.284321;;16 408;943;0;2 689;0;;32;52;6 710;;1 085;98;550;3 076;0;
103;101;0x0000000I64X;202;B;00:00:03:366;1083;32;;;;;35.862537;;8 664;1 007;0;1 489;0;;0;1;3 992;;401;29;79;607;0;
104;103;0x0000000I64X;206;B;00:00:03:433;1240;31;;;;;33.808391;;9 920;1 033;0;1 846;0;;36;39;4 352;;413;34;249;837;0;
105;106;0x0000000I64X;212;P;00:00:03:533;11512;26;;;;;35.137826;;92 096;481;0;3 737;0;;689;1 036;15 447;;5 472;126;4 564;59 027;0;
106;105;0x0000000I64X;210;B;00:00:03:500;1405;28;;;;;36.538611;;11 240;1 050;0;2 151;0;;32;47;4 875;;561;44;393;1 007;0;
107;108;0x0000000I64X;216;P;00:00:03:600;12206;26;;;;;35.070426;;97 648;350;0;4 519;0;;872;1 447;17 276;;5 356;153;4 891;61 196;0;
108;107;0x0000000I64X;214;B;00:00:03:566;1612;31;;;;;36.496357;;12 896;1 008;0;2 295;0;;11;23;6 128;;750;65;301;1 250;0;
109;110;0x0000000I64X;220;P;00:00:03:666;11185;26;;;;;35.978585;;89 480;335;0;4 624;0;;935;1 734;17 389;;5 125;174;4 805;52 641;0;
110;109;0x0000000I64X;218;B;00:00:03:633;2034;28;;;;;36.411262;;16 272;970;0;3 154;0;;21;57;7 342;;875;91;548;2 039;0;
111;112;0x0000000I64X;224;P;00:00:03:733;12156;26;;;;;35.032049;;97 248;274;0;4 849;0;;1 561;2 607;17 184;;4 864;234;5 321;58 414;0;
112;111;0x0000000I64X;222;B;00:00:03:700;2143;30;;;;;36.158196;;17 144;969;0;2 979;0;;57;107;7 702;;931;93;631;2 526;0;
113;114;0x0000000I64X;228;P;00:00:03:800;10715;27;;;;;36.511100;;85 720;305;0;4 620;0;;1 449;2 218;16 571;;4 348;218;4 891;49 231;0;
114;113;0x0000000I64X;226;B;00:00:03:766;2022;27;;;;;36.084844;;16 176;971;0;3 105;0;;62;101;7 917;;727;67;519;1 581;0;
115;116;0x0000000I64X;232;P;00:00:03:866;12410;26;;;;;35.417586;;99 280;172;0;5 236;0;;2 049;3 291;18 853;;4 960;336;6 001;56 013;0;
116;115;0x0000000I64X;230;B;00:00:03:833;2507;29;;;;;36.329635;;20 056;977;0;3 405;0;;87;143;8 714;;1 193;134;728;3 407;0;
117;118;0x0000000I64X;236;P;00:00:03:933;10254;26;;;;;34.857870;;82 032;318;0;4 551;0;;1 441;2 151;17 867;;4 942;210;5 388;43 152;0;
118;117;0x0000000I64X;234;B;00:00:03:900;2399;29;;;;;36.264794;;19 192;911;0;3 256;0;;93;134;8 564;;1 101;112;666;3 126;0;
119;120;0x0000000I64X;240;P;00:00:04:000;9337;26;;;;;34.937496;;74 696;387;0;4 297;0;;1 421;2 039;17 139;;4 321;252;5 219;37 419;0;
120;119;0x0000000I64X;238;B;00:00:03:966;2456;30;;;;;36.596613;;19 648;922;0;3 227;0;;43;89;8 794;;1 122;140;767;3 358;0;
121;124;0x0000000I64X;248;P;00:00:04:133;11428;26;;;;;34.892342;;91 424;274;0;4 814;0;;2 508;3 578;17 678;;3 877;352;5 952;49 680;0;
122;122;0x0000000I64X;244;B;00:00:04:066;5670;28;;;;;35.130188;;45 360;756;0;5 320;0;;304;490;14 275;;2 895;389;2 140;17 340;0;
123;121;0x0000000I64X;242;B;00:00:04:033;2355;30;;;;;36.058739;;18 840;951;0;3 078;0;;57;113;8 385;;1 199;113;790;2 978;0;
124;123;0x0000000I64X;246;B;00:00:04:100;1943;30;;;;;34.886968;;15 544;958;0;2 631;0;;44;44;6 969;;899;91;530;2 269;0;
125;126;0x0000000I64X;252;P;00:00:04:200;7757;25;;;;;34.381234;;62 056;442;0;4 056;0;;1 673;2 328;15 863;;3 506;221;4 311;27 354;0;
126;125;0x0000000I64X;250;B;00:00:04:166;2042;30;;;;;37.803080;;16 336;963;0;2 669;0;;28;50;7 592;;839;87;444;2 490;0;
127;128;0x0000000I64X;256;P;00:00:04:266;7269;26;;;;;37.209147;;58 152;352;0;4 028;0;;1 427;2 146;15 091;;4 056;206;4 930;23 831;0;
128;127;0x0000000I64X;254;B;00:00:04:233;1926;26;;;;;38.095057;;15 408;951;0;2 579;0;;76;171;7 079;;810;74;614;1 844;0;
129;130;0x0000000I64X;260;P;00:00:04:333;10230;25;;;;;37.919731;;81 840;175;0;4 972;0;;2 926;4 307;15 470;;4 522;404;6 449;39 563;0;
130;129;0x0000000I64X;258;B;00:00:04:300;1994;25;;;;;38.204458;;15 952;986;0;2 587;0;;122;225;7 251;;837;93;758;1 883;0;
131;132;0x0000000I64X;264;P;00:00:04:400;8064;25;;;;;37.702956;;64 512;318;0;4 031;0;;1 342;2 019;17 661;;4 542;185;4 603;27 720;0;
132;131;0x0000000I64X;262;B;00:00:04:366;1783;27;;;;;38.503312;;14 264;984;0;2 379;0;;31;71;7 103;;656;59;270;1 575;0;
133;134;0x0000000I64X;268;P;00:00:04:466;8158;25;;;;;36.981670;;65 264;322;0;4 358;0;;1 489;2 204;16 407;;4 471;234;5 038;28 355;0;
134;133;0x0000000I64X;266;B;00:00:04:433;1711;27;;;;;38.324277;;13 688;992;0;2 424;0;;35;67;6 242;;764;45;420;1 630;0;
