stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
82;82;0x0000000I64X;164;B;00:00:02:733;2317;24;;;;;40.941660;;18 536;944;0;2 419;0;;71;127;6 246;;1 960;87;1 184;4 320;0;
83;81;0x0000000I64X;162;B;00:00:02:700;1441;23;;;;;40.608576;;11 528;988;0;1 650;0;;10;45;4 378;;964;18;655;1 771;0;
84;83;0x0000000I64X;166;B;00:00:02:766;1699;25;;;;;41.131838;;13 592;980;0;1 989;0;;35;87;4 455;;1 418;28;752;2 744;0;
85;88;0x0000000I64X;176;P;00:00:02:933;6228;23;;;;;40.892679;;49 824;367;0;3 891;0;;1 122;2 612;12 421;;3 548;97;3 110;20 495;0;
86;86;0x0000000I64X;172;B;00:00:02:866;2395;24;;;;;40.848326;;19 160;933;0;2 674;0;;48;116;5 682;;1 844;59;1 192;5 387;0;
87;85;0x0000000I64X;170;B;00:00:02:833;1721;24;;;;;41.859653;;13 768;944;0;2 122;0;;36;82;4 741;;1 290;37;731;2 676;0;
88;87;0x0000000I64X;174;B;00:00:02:900;1767;24;;;;;41.752755;;14 136;993;0;2 073;0;;93;150;4 191;;1 373;48;930;3 093;0;
89;92;0x0000000I64X;184;P;00:00:03:066;5892;23;;;;;43.550474;;47 136;370;0;3 794;0;;1 046;2 704;13 008;;3 573;98;2 664;17 857;0;
90;90;0x0000000I64X;180;B;00:00:03:000;2459;24;;;;;41.151345;;19 672;919;0;2 648;0;;93;192;6 672;;1 564;49;1 198;5 155;0;
91;89;0x0000000I64X;178;B;00:00:02:966;1821;24;;;;;43.031598;;14 568;946;0;2 179;0;;30;69;4 761;;1 338;33;789;3 271;0;
92;91;0x0000000I64X;182;B;00:00:03:033;1854;22;;;;;40.874634;;14 832;876;0;2 341;0;;29;58;4 431;;1 323;37;780;3 804;0;
93;96;0x0000000I64X;192;P;00:00:03:200;6635;23;;;;;41.252071;;53 080;284;0;4 102;0;;887;2 530;13 611;;4 228;73;3 011;22 483;0;
94;94;0x0000000I64X;188;B;00:00:03:133;2371;23;;;;;42.258746;;18 968;951;0;2 501;0;;33;77;5 634;;1 678;43;1 214;5 655;0;
95;93;0x0000000I64X;186;B;00:00:03:100;1827;24;;;;;42.405173;;14 616;948;0;2 089;0;;24;70;4 897;;1 303;39;834;3 296;0;
96;95;0x0000000I64X;190;B;00:00:03:166;2018;24;;;;;41.701141;;16 144;934;0;2 357;0;;31;84;4 662;;1 712;41;804;4 355;0;
97;100;0x0000000I64X;200;P;00:00:03:333;7731;23;;;;;40.465891;;61 848;237;0;3 659;0;;607;2 114;13 881;;5 493;63;3 378;30 872;0;
98;98;0x0000000I64X;196;B;00:00:03:266;2315;23;;;;;42.763276;;18 520;931;0;2 349;0;;27;49;5 333;;1 907;48;1 193;5 497;0;
99;97;0x0000000I64X;194;B;00:00:03:233;1618;22;;;;;41.604877;;12 944;982;0;1 637;0;;19;43;4 238;;1 255;41;506;3 126;0;
100;99;0x0000000I64X;198;B;00:00:03:300;1641;25;;;;;42.837307;;13 128;944;0;1 826;0;;24;35;3 449;;1 399;47;805;3 443;0;
101;104;0x0000000I64X;208;P;00:00:03:466;5704;24;;;;;41.384190;;45 632;304;0;3 672;0;;471;1 837;13 544;;4 272;58;2 921;17 020;0;
102;102;0x0000000I64X;204;B;00:00:03:400;2246;24;;;;;40.850164;;17 968;964;0;1 911;0;;23;40;4 772;;2 564;177;933;5 391;0;
103;101;0x0000000I64X;202;B;00:00:03:366;1400;22;;;;;42.066590;;11 200;936;0;1 278;0;;0;4;3 017;;1 848;58;259;2 701;0;
104;103;0x0000000I64X;206;B;00:00:03:433;1505;24;;;;;43.223013;;12 040;967;0;1 573;0;;0;8;3 586;;1 464;44;477;2 839;0;
